"campanha","grupo","palavra_chave","status_atual","correspondencia","impressoes_30d","cliques_30d","ctr_30d","custo_30d_brl","conversoes_agregadas_30d","acao_proposta","classe_decisao","evidencia_risco","regra_revisao"
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[cirurgia para pálpebras caídas]","Ativado","Correspondência exata","3","0","0","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[blefaroplastia]","Ativado","Correspondência exata","1344","83","0.0618","122.18","2","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[blefaroplastia são paulo]","Ativado","Correspondência exata","0","0","N/D","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[blefaroplastia inferior]","Ativado","Correspondência exata","110","3","0.0273","4.26","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[quanto custa uma blefaroplastia]","Ativado","Correspondência exata","7","1","0.1429","1.53","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[blefaroplastia superior]","Ativado","Correspondência exata","57","6","0.1053","8.55","1","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[plástica das pálpebras]","Ativado","Correspondência exata","785","63","0.0803","90.38","0","Manter","Não alterar","Linguagem leiga de intenção direta para blefaroplastia; não excluir por nomenclatura popular.","Rever após 30 novos cliques atribuídos; pausar só se 0 qualificados e termos incompatíveis persistirem."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","""blefaroplastia""","Ativado","Correspondência de frase","1965","154","0.0784","222.31","6","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","""plástica das pálpebras""","Ativado","Correspondência de frase","1196","100","0.0836","145.36","0","Manter","Não alterar","Linguagem leiga de intenção direta para blefaroplastia; não excluir por nomenclatura popular.","Rever após 30 novos cliques atribuídos; pausar só se 0 qualificados e termos incompatíveis persistirem."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","""cirurgia de pálpebras""","Ativado","Correspondência de frase","516","54","0.1047","81.44","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[cirurgia de pálpebras]","Ativado","Correspondência exata","134","9","0.0672","13.45","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","[blefaroplastia preço]","Ativado","Correspondência exata","3","0","0","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","""blefaroplastia em são paulo""","Ativado","Correspondência de frase","0","0","N/D","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_LIPO_PAPADA","""lipo de papada""","Ativado","Correspondência de frase","35","1","0.0286","1","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_LIPO_PAPADA","[lipo papada]","Ativado","Correspondência exata","287","17","0.0592","19.97","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_LIPO_PAPADA","[lipo de papada]","Ativado","Correspondência exata","119","6","0.0504","7.58","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_LIPO_PAPADA","""lipo papada""","Ativado","Correspondência de frase","1974","107","0.0542","121.72","1","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""cervicoplastia""","Ativado","Correspondência de frase","143","11","0.0769","12.98","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""pescoço flácido""","Pausado","Correspondência de frase","155","3","0.0194","7.78","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[plástica no pescoço]","Ativado","Correspondência exata","195","14","0.0718","22.15","2","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""especialista em lifting cervical""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting cervical""","Ativado","Correspondência de frase","152","17","0.1118","20.42","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[lifting cervical]","Ativado","Correspondência exata","67","4","0.0597","4.85","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[cirurgia para flacidez no pescoço]","Ativado","Correspondência exata","0","0","N/D","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""platismoplastia""","Ativado","Correspondência de frase","55","3","0.0545","3.45","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[lifting de pescoço valor]","Ativado","Correspondência exata","14","3","0.2143","4.69","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[lifting cervical são paulo]","Pausado","Correspondência exata","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[rejuvenescimento do pescoço]","Ativado","Correspondência exata","161","11","0.0683","12.9","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""cervicoplastia são paulo""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting cervical são paulo""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[flacidez no pescoço]","Ativado","Correspondência exata","119","9","0.0756","11.23","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[lifting cervical em são paulo]","Pausado","Correspondência exata","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting de pescoço""","Ativado","Correspondência de frase","239","14","0.0586","17.25","1","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""flacidez no pescoço""","Pausado","Correspondência de frase","53","3","0.0566","4.96","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting cervical em são paulo""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""platismoplastia são paulo""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting de pescoço são paulo""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[lifting de pescoço]","Ativado","Correspondência exata","38","1","0.0263","0.97","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[cirurgia para pescoço flácido]","Pausado","Correspondência exata","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""rejuvenescimento do pescoço""","Ativado","Correspondência de frase","834","43","0.0516","52.02","0","Manter sob observação","Observar","43 cliques e R$52,02 sem conversão agregada; houve vazamento para injetáveis, corrigível por negativas específicas.","Aplicar negativas específicas; pausar a frase se, após 50 novos cliques válidos, continuar com 0 qualificados; manter a exata."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""cirurgia para pescoço flácido""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting de pescoço preço""","Ativado","Correspondência de frase","265","20","0.0755","21.91","1","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[cervicoplastia]","Ativado","Correspondência exata","217","6","0.0276","6.82","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""plástica no pescoço""","Pausado","Correspondência de frase","36","3","0.0833","4.97","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[pescoço flácido]","Ativado","Correspondência exata","28","1","0.0357","1.1","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","""lifting cervical preço""","Pausado","Correspondência de frase","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[lifting de pescoço são paulo]","Pausado","Correspondência exata","0","0","N/D","0","0","Manter pausada","Não alterar","Sem evidência suficiente para reativar durante o gate pós-mudanças de 13/08.","Rever após 14 dias completos com origem e qualificação reconciliadas."
"S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","[platismoplastia]","Ativado","Correspondência exata","116","11","0.0948","17.12","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","AG_OTOPLASTIA_INFANTIL","[orelha de abano criança]","Ativado","Correspondência exata","7","1","0.1429","2.08","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","AG_OTOPLASTIA_INFANTIL","[otoplastia criança]","Ativado","Correspondência exata","7","0","0","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","Adulto","otoplastia em são paulo","Pausado","Correspondência ampla","0","0","N/D","0","0","Manter pausada","Não alterar","Correspondência ampla permanece vedada enquanto o sinal offline não estiver estável.","Rever somente após pelo menos 10 conversões qualificadas aceitas e reconciliação ponta a ponta."
"S_BR_SP_OTOPLASTIA","Adulto","orelha otoplastia","Pausado","Correspondência ampla","0","0","N/D","0","0","Manter pausada","Não alterar","Correspondência ampla permanece vedada enquanto o sinal offline não estiver estável.","Rever somente após pelo menos 10 conversões qualificadas aceitas e reconciliação ponta a ponta."
"S_BR_SP_OTOPLASTIA","Adulto","[cirurgia de orelha valor]","Ativado","Correspondência exata","8","0","0","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","Adulto","otoplastia redutora","Pausado","Correspondência ampla","0","0","N/D","0","0","Manter pausada","Não alterar","Correspondência ampla permanece vedada enquanto o sinal offline não estiver estável.","Rever somente após pelo menos 10 conversões qualificadas aceitas e reconciliação ponta a ponta."
"S_BR_SP_OTOPLASTIA","Adulto","""otoplastia em adulto""","Ativado","Correspondência de frase","0","0","N/D","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","Adulto","[cirurgia plástica da orelha]","Ativado","Correspondência exata","228","15","0.0658","31.15","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","Adulto","otoplastia sao paulo","Pausado","Correspondência ampla","0","0","N/D","0","0","Manter pausada","Não alterar","Correspondência ampla permanece vedada enquanto o sinal offline não estiver estável.","Rever somente após pelo menos 10 conversões qualificadas aceitas e reconciliação ponta a ponta."
"S_BR_SP_OTOPLASTIA","AG_OTOPLASTIA_INFANTIL","""orelha de abano infantil""","Ativado","Correspondência de frase","14","1","0.0714","2.08","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
"S_BR_SP_OTOPLASTIA","AG_OTOPLASTIA_INFANTIL","""otoplastia infantil são paulo""","Ativado","Correspondência de frase","0","0","N/D","0","0","Manter","Não alterar","Exata/frase ativa; mudanças de 13/08 e sinal offline não permitem atribuir qualidade com segurança.","Rever em 7 e 14 dias completos usando qualificado, consulta e termos reais."
