"id","fase","pacote","prioridade","acao","objetivo","problema","evidencia","arquivo_funcao_url_aba","mudanca_exata","arquivos_previstos","dependencias","ordem","impacto_textual","impacto_schema","impacto_atribuicao","acao_externa","modelo_recomendado","esforco_raciocinio","ultra","revisor","justificativa_inteligencia","esforco_humano","risco","confianca","impacto_esperado","metrica","guardrail","teste_anterior","teste_posterior","duracao_minima","regra_manter","regra_reverter","rollback","documentacao"
"SEC-001","1 contenção/desenho; 5–6 migração autorizada","A","P0","corrigir","Evitar exposição e manter deduplicação segura.","Transaction IDs legados podem carregar identificador pessoal derivado ou reversível.","3/5 IDs presentes no staging/ledger têm formato potencialmente derivável; valores não foram persistidos.","IMPORT_GOOGLE_ADS; IMPORT_GCLID; _GOOGLE_ADS_EVENTOS; LeadClassification.gs","Fase 1: bloquear novos IDs fora de formato opaco versionado; desenhar HMAC-SHA-256 com segredo; quarentenar legados e auditar recibos sem escrever na planilha. Fases 5–6, somente com autorização posterior específica: migrar as três projeções de forma consistente.","IMPORT_GOOGLE_ADS; IMPORT_GCLID; _GOOGLE_ADS_EVENTOS; LeadClassification.gs","baseline; mapa de consumidores; segredo; recibos","1","visível=não; não visível=não","sim — desenho na fase 1; migração somente nas fases 5–6 autorizadas","sim","sim — leitura do histórico Google na fase 1; escrita/migração somente com autorização posterior específica","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","alto","Migração errada pode duplicar conversões ou romper vínculo interno.","alta","Evitar exposição e manter deduplicação segura.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","zero PII; zero reenvio sem estado externo","congelar baseline; preflight de regex; vetores HMAC; replay idempotente; reconciliação 5/5","preflight de regex; vetores HMAC; replay idempotente; reconciliação 5/5","até passar; depois 7–14 dias de estabilidade","100% novos IDs opacos e eventos reconciliados","qualquer ID derivável, colisão ou duplicidade","parar projeção e restaurar snapshot interno seguro; nunca restaurar IDs inseguros","Norte; contrato offline; runbook de migração"
"SEC-002","1","A","P0","corrigir","Reduzir risco de reidentificação sem perder observabilidade.","Logs externos incluem fragmentos de telefone e podem incluir IDs de provedor reversíveis.","Ocorrências de patientLast4 e IDs de mensagem/evento foram observadas no código.","ycloud-webhook.mjs; human-resume.mjs; ycloud-recovery.mjs","Substituir por correlation ID HMAC opaco; remover conteúdo e fragmentos pessoais de logs; definir retenção e níveis de acesso.","ycloud-webhook.mjs; human-resume.mjs; ycloud-recovery.mjs","política de segredo; inventário de logs","2","visível=não; não visível=não","não","sim","não","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","médio","Correlação operacional pode ser perdida se o mapa interno não for desenhado.","alta","Reduzir risco de reidentificação sem perder observabilidade.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","zero PII/PHI em logs externos","congelar baseline; snapshot de payload; busca automatizada por PII; correlação de erro sintético","snapshot de payload; busca automatizada por PII; correlação de erro sintético","até passar; depois 7–14 dias de estabilidade","todos os logs úteis reconciliam pelo ID opaco","qualquer PII ou incapacidade de investigar falha crítica","feature flag para silenciar logs; manter somente correlation ID","política de logging e retenção"
"SEC-003","1","A","P0","corrigir","Evitar publicação acidental de relatórios internos.","A pasta auditorias não está explicitamente excluída do artefato de deploy.",".netlifyignore omite auditorias/ e netlify.toml não declara build.publish; exposição atual é N/D.",".netlifyignore; netlify.toml; pipeline de deploy","Confirmar publish dir/manifest; excluir auditorias/**; adicionar teste de build e smoke 404 para rota sentinela antes de qualquer deploy.",".netlifyignore; netlify.toml; pipeline de deploy","conhecer método real de deploy","3","visível=não; não visível=não","não","não","não — código agora; publicação exige autorização posterior","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","opcional","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","baixo","Regra ampla pode excluir ativo legítimo se mal aplicada.","alta para lacuna; N/D para exposição","Evitar publicação acidental de relatórios internos.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","nenhum relatório interno no artefato","congelar baseline; inspecionar artefato; assert de ausência; HTTP 404 pós-publicação autorizada","inspecionar artefato; assert de ausência; HTTP 404 pós-publicação autorizada","até passar; depois 7–14 dias de estabilidade","build contém apenas arquivos públicos esperados","qualquer arquivo interno acessível ou ativo público ausente","reverter somente a regra se quebrar build, mantendo bloqueio de deploy","runbook de publicação e lista de exclusões"
"SEC-004","2","A/D","P1","testar","Reduzir superfície de dados pessoais.","Dados operacionais incluem telefone, texto e IDs de provedor; retenção/acesso não foram comprovados.","Schema live mostra mensagens e identificadores brutos em abas protegidas; política efetiva de retenção é N/D.","_WHATSAPP_MENSAGENS; _WHATSAPP_EVENTOS; logs e backups","Inventariar necessidade, acesso, backups e retenção; minimizar campos e criar política de expurgo sem prejudicar atendimento ou obrigação legal.","_WHATSAPP_MENSAGENS; _WHATSAPP_EVENTOS; logs e backups","parecer privacidade; mapa de consumidores","4","visível=não; não visível=não","sim","não","sim — decisão operacional/jurídica","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","médio-alto","Expurgo excessivo pode afetar continuidade e dever documental.","média","Reduzir superfície de dados pessoais.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","nenhum dado clínico enviado a terceiros; acesso mínimo","congelar baseline; dry-run de retenção; restauração; amostra anonimizável","dry-run de retenção; restauração; amostra anonimizável","14 dias ou amostra mínima do plano","retenção aprovada e auditável","perda de dado necessário ou acesso indevido","suspender expurgo e restaurar backup protegido","política de dados e backup"
"CNS-001","2","A/C","P1","corrigir","Consentimento compreensível e medição tecnicamente coerente.","Documentação e configuração declaram comportamentos incompatíveis de consentimento, click ID e evento Meta.","advancedConsentMode=true, mas tags só carregam após aceite; guia interno diz que click ID só acompanha o WhatsApp após consentimento, enquanto Norte, política, código e testes preservam o ID na sessão atual; política fala em clique WA da Meta, mas o código não envia esse evento.","campanhas/tracking-config.js; política pública; GUIA-LINGUAGEM-TRAFEGO-PAGO.md; loader/pixels","Obter decisão única de privacidade/LGPD; alinhar flag, loader, guia, política e testes; não ampliar coleta nem burlar consentimento.","campanhas/tracking-config.js; política pública; GUIA-LINGUAGEM-TRAFEGO-PAGO.md; loader/pixels","decisão de privacidade; baseline de tags","5","visível=possível — só em fase textual autorizada; não visível=sim","não","sim","sim — revisão de privacidade/jurídica","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","médio","Alterar comportamento pode criar coleta indevida ou quebra de métricas.","alta","Consentimento compreensível e medição tecnicamente coerente.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","nenhuma tag não essencial antes da decisão aprovada; click ID somente conforme contrato formal","congelar baseline; captura de rede com aceitar/recusar/revogar; cookies/storage; conteúdo do link WhatsApp; eventos por destino","captura de rede com aceitar/recusar/revogar; cookies/storage; conteúdo do link WhatsApp; eventos por destino","14 dias ou amostra mínima do plano","código, configuração e documentos descrevem a mesma prática","qualquer tag indevida, ID fora do contrato ou afirmação incorreta","retornar ao carregamento bloqueado e última documentação aprovada","Norte; política; guia de tracking; catálogo de eventos"
"ATR-001","4","C/D","P0","corrigir","Permitir decidir se a rota Site pode receber teste de mídia.","Meta Ads → site → WhatsApp → LEADS → CRM não tem prova ponta a ponta.","0 linhas com M26F02S exato no snapshot; isso não equivale a zero contatos Meta Site; testes locais existem, mas nenhuma sonda live reconciliada.","Meta M26F02S; site; webhook; LEADS; CRM","Manter novo gasto em zero; concluir contrato, executar sonda controlada autorizada e exigir origem Meta, caminho site→WhatsApp, campanha, landing, CTA, LEADS=CRM e confiança.","Meta M26F02S; site; webhook; LEADS; CRM","SEC-001/002; ATR-002..008; contrato D","6","visível=não; não visível=não","sim","sim","sim — teste live/Meta somente após autorização","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","alto","Lead sintético pode poluir produção ou falsa atribuição pode liberar gasto.","alta","Permitir decidir se a rota Site pode receber teste de mídia.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","zero PII; nenhum orçamento antes do gate","congelar baseline; cenários 2 e 3 do plano de testes; conciliação E2E","cenários 2 e 3 do plano de testes; conciliação E2E","até passar; depois 7–14 dias de estabilidade","100% da sonda; depois cobertura consentida ≥80%, duplicidade <2% e LEADS=CRM","cobertura <80%, duplicidade ≥2%, fallback silencioso ou divergência","desativar feature/sonda e expurgar sintético com trilha","Norte; guia Meta; runbook E2E"
"ATR-002","4","C/D","P0","corrigir","Preservar história e evitar retorno direto apagar mídia paga.","Uma origem única mistura first touch, last touch, conversa atual e caminho.","sessionStorage guarda um snapshot reduzido; aba visível pode ser atualizada por prioridade de plataforma; CRM só congela referência/plataforma inicial.","conversion-tracking.js; Code.gs; OpportunityStore.gs; schema CRM","Criar ledger imutável de touchpoints e projeções separadas para first, last, last non-direct, conversa atual, origem informada e caminho; remover sobrescrita sem evento.","conversion-tracking.js; Code.gs; OpportunityStore.gs; schema CRM","contrato de dados; backup; aliases","7","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","alto","Migração pode reinterpretar histórico ou criar divergência.","alta","Preservar história e evitar retorno direto apagar mídia paga.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","nunca rebaixar fase nem reescrever first touch","congelar baseline; múltiplas campanhas, paciente antigo e retorno; invariantes de imutabilidade","múltiplas campanhas, paciente antigo e retorno; invariantes de imutabilidade","até passar; depois 7–14 dias de estabilidade","zero sobrescrita e LEADS=CRM por 14 dias","qualquer corrupção, regressão ou origem inventada","feature flag e projeção anterior sobre ledger preservado","contrato de dados; dicionário de métricas"
"ATR-003","4","C","P0","corrigir","Permitir a sonda Meta Site e localizar perdas sem coleta excessiva.","O subconjunto mínimo de dimensões para provar Meta Site — hierarquia fornecida, landing, CTA e timestamps — não é capturado/materializado.","Código captura cinco parâmetros de marketing e três click IDs; não captura IDs separados de conjunto/anúncio, landing, CTA, timestamps ou referrer; ValueTrack ampliado também é ignorado.","conversion-tracking.js; tracking-loader.js; CTA WhatsApp","P0: capturar/normalizar o mínimo Meta+landing+CTA do gate; P1 posterior: avaliar ValueTrack adicional por necessidade; separar ausente de inválido e limitar tamanho/risco.","conversion-tracking.js; tracking-loader.js; CTA WhatsApp","ATR-002; revisão de privacidade","8","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","médio-alto","Coleta excessiva ou URL compartilhada pode criar privacidade/falsa confiança.","alta","Permitir a sonda Meta Site e localizar perdas sem coleta excessiva.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","minimização; valores desconhecidos ficam N/D","congelar baseline; matriz Meta completa/incompleta e navegação; ValueTrack em teste separado","matriz Meta completa/incompleta e navegação; ValueTrack em teste separado","até passar; depois 7–14 dias de estabilidade","100% da sonda; depois gate do Norte de cobertura ≥80% e duplicidade <2%","PII, cardinalidade descontrolada ou perda de CTA","desativar novos campos mantendo subset atual","contrato de parâmetros e privacidade"
"ATR-004","4","C","P0","testar","Preservar Meta/Google até o contato posterior.","Atribuição ativa é por sessão/aba e não cobre retorno posterior ou múltiplas abas.","amanda_marketing_attribution usa sessionStorage; caminho persistente antigo não é aplicado.","conversion-tracking.js; storage/token service","Definir TTL e precedência; preferir token opaco/resolução server-side ou armazenamento aprovado; suportar retorno e múltiplas abas sem prolongar indefinidamente.","conversion-tracking.js; storage/token service","ATR-002/003; base legal; threat model","9","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","alto","Persistência excessiva aumenta risco e link encaminhado pode atribuir pessoa errada.","alta","Preservar Meta/Google até o contato posterior.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","TTL mínimo; confiança reduzida para link compartilhado","congelar baseline; cenários 4, 9, 18, 19 e 23","cenários 4, 9, 18, 19 e 23","até passar; depois 7–14 dias de estabilidade","retorno controlado reconcilia sem falsa atribuição","atribuição cruzada ou retenção acima do aprovado","feature flag e expiração imediata do novo estado","arquitetura de atribuição e retenção"
"ATR-005","4","C","P1","testar","Robustez à edição e menor exposição de identificadores.","A mensagem visível carrega códigos e click IDs; edição/remoção quebra o vínculo e expõe identificadores à plataforma de mensagem.","Código monta referência/click ID no texto; parser depende da mensagem/mapeamento.","CTA WhatsApp; webhook resolver","Projetar token opaco de uso limitado, resolvido no backend, com fallback explícito; não enviar click ID cru quando o token cumprir a função e a plataforma permitir.","CTA WhatsApp; webhook resolver","ATR-004; serviço seguro; privacidade","10","visível=possível — mensagem pode mudar, só com autorização textual; não visível=sim","sim","sim","sim — WhatsApp/Meta se necessário","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","alto","Token pode expirar, ser encaminhado ou tornar o CTA frágil.","média-alta","Robustez à edição e menor exposição de identificadores.","cobertura de origem/caminho/dimensões e divergência LEADS/CRM","nenhuma informação clínica/PII no token; atendimento nunca bloqueia","congelar baseline; edição, remoção, expiração, replay e link encaminhado","edição, remoção, expiração, replay e link encaminhado","14 dias ou amostra mínima do plano","≥99% resolução e zero vazamento nos testes","falha de atendimento, replay ou atribuição cruzada","fallback para código seguro e baixa confiança, sem restaurar click ID cru","protocolo do token e runbook"
