"campo","estado_atual","significado","fonte","ponto_de_captura","normalizacao","armazenamento_temporario","coluna_canonica_atual","campo_crm_atual","valores_permitidos","exemplo_sintetico_sem_pii","fallback","validade","modelo_de_toque","confianca","risco_de_privacidade","sistemas_consumidores","evidencia","limitacao","prioridade","mudanca_proposta"
"opportunity_id","existente","Identificador da oportunidade por profissional","Apps Script","criação ou resolução de oportunidade","prefixo opp_ mais digest hexadecimal truncado","evento e linha visível","Opportunity ID","Opportunity ID","opp_[a-f0-9]{20}","opp_0123456789abcdefabcd","N/D; não criar se identidade ambígua","vida da oportunidade","identidade canônica","alta","baixo se não correlacionado externamente","LEADS; CRM; consultas; funil; Google Ads","OpportunityStore.gs","deriva de event ID e profissional por SHA-256 sem chave; correlação com evento externo é possível","P1","manter interno; para exportação usar ID aleatório/opaco versionado"
"phone_e164","existente restrito","Telefone usado para conversa e resolução operacional","WhatsApp/YCloud","webhook","somente dígitos com prefixo +","payload e armazenamento operacional protegido","Telefone","Phone E.164","E.164 válido","+55XXXXXXXXXXX","N/D; falhar fechado","conforme política de retenção ainda N/D","identidade operacional","alta","PII direta crítica","webhook; LEADS; CRM; atendimento","Code.gs e OpportunityStore.gs","necessário à operação; nunca deve ir a mídia ou relatório","P0","restringir acesso; não logar; definir retenção e descarte"
"phone_pseudonym","existente inadequado","Pseudônimo de telefone para reconciliação interna","telefone E.164","Apps Script","SHA-256 truncado sem segredo","N/D","N/D","Phone hash","hexadecimal truncado","h1_0123456789abcdefabcd","N/D","enquanto necessário à reconciliação","identidade técnica","média","dicionário sobre espaço de telefones; não é anônimo","CRM e ledgers internos","stableLeadHash_","sem salt/HMAC; não exportar","P0","migrar para HMAC-SHA-256 com secret e key_version"
"initial_origin","parcial","Origem inicial da oportunidade","referência/click/referral","primeiro evento que cria oportunidade","taxonomia canônica","sessionStorage e evento","Plataforma de aquisição/Referência","Plataforma inicial/Referência inicial","taxonomia mínima aprovada","Meta Ads","unknown","vida da oportunidade","first touch imutável","média","médio; pode revelar interesse de saúde se granular demais","LEADS; CRM; funil","OpportunityStore.gs","hoje mistura plataforma e referência; sem método/confiança","P0","separar origem, canal, caminho e evidência; nunca sobrescrever"
"initial_channel","parcial","Canal do primeiro toque","URL/referral/informação da paciente","criação de oportunidade","enum fechado","sessionStorage/evento","Plataforma de aquisição","Plataforma inicial","google_ads; meta_ads; organic_search; ai_referral; social_organic; referral; direct; patient_reported; unknown","meta_ads","unknown","vida da oportunidade","first touch imutável","média","baixo quando agregado","CRM; BI","campo Plataforma","granularidade atual insuficiente","P0","adotar enum sem nomes livres"
"conversion_path","ausente","Sequência operacional que levou ao contato","eventos de navegação e conversa","CTA/webhook","enum fechado","envelope de jornada","N/D","N/D","meta_whatsapp_direct; meta_site_whatsapp; meta_site_return_whatsapp; google_site_whatsapp; organic_site_whatsapp; direct_whatsapp; unknown","meta_site_whatsapp","unknown","90 dias propostos; sujeito a aprovação","caminho","N/D","baixo/médio","CRM; LEADS; BI","ausência no schema","hoje inferido pelo código M26","P0","campo canônico explícito e append-only por evento"
"conversation_origin","ausente","Origem da conversa atual sem alterar origem inicial","código/referral/mensagem/informação explícita","webhook por mensagem","taxonomia mínima","evento WhatsApp","N/D","N/D","mesma taxonomia de canal mais current_direct","current_direct","unknown","vida da conversa","touch atual","N/D","baixo quando agregado","CRM; atendimento; BI","classifyAttribution só retorna plataforma/ref","não é persistido como dimensão de CRM","P1","registrar por evento com confiança"
"campaign_code","existente parcial","Código interno estável de campanha","utm_campaign/origem/referência","URL e mensagem","maiúsculas; regex G26/M26","sessionStorage","Campanha","N/D","G26...; M26...; legacy durante migração","M26F02S","unknown","vida da oportunidade","first e last separados","alta quando presente","baixo","LEADS; webhook; CRM proposto; BI","conversion-tracking.js e Code.gs","CRM atual não possui campo normalizado","P0","persistir no CRM e eventos; dual-read legado"
"meta_campaign_id","ausente","ID estável da campanha Meta","parâmetro dinâmico Meta/lookup","URL ou referral lookup","dígitos; string opaca","envelope de jornada","N/D","N/D","ID Meta validado","120000000000000000","unknown","janela de atribuição aprovada","first/last","N/D","baixo, mas identificador publicitário","CRM; BI","URL M26F02S observada","não fornecido","P0","adicionar parâmetro/lookup sem usar nome livre"
"meta_adset_id","ausente","ID estável do conjunto Meta","parâmetro dinâmico Meta/lookup","URL ou lookup por anúncio","dígitos; string opaca","envelope de jornada","N/D","N/D","ID Meta validado","120000000000000001","unknown","janela de atribuição aprovada","first/last","N/D","baixo","CRM; BI","URL observada e mapa de referral","não fornecido","P0","adicionar e validar quando fornecido"
"meta_ad_id","parcial","ID estável do anúncio Meta","parâmetro dinâmico ou referral source_id","URL/referral","dígitos; string opaca","evento webhook","referência META-AD-id quando não mapeado","N/D","ID Meta validado","120000000000000002","unknown + meta_ad_id_without_campaign_mapping","janela de atribuição aprovada","touch atual","alta no direto quando referral existe","baixo/médio","webhook; LEADS; BI","matchMetaAdReference","Meta Site não envia; mapa manual incompleto","P0","capturar no site; manter lookup versionado no direto"
"creative_code","existente parcial","Código editorial do criativo/hook","utm_content ou mapa do anúncio","URL/referral","C##H##","sessionStorage","Criativo","N/D","C[0-9]{2}H[0-9]{2}","C01H01","unknown","vida da oportunidade","first/last","alta quando presente","baixo","LEADS; BI","buildReference e decomporReferenciaAquisicao_","não é o ID do anúncio/criativo na plataforma","P1","separar creative_code de meta_ad_id"
"landing_page","ausente","Primeira página do acesso atribuível","location.pathname","primeiro page load","path canônico sem query/fragmento","envelope de jornada","N/D","N/D","path interno allowlist","/avaliacao-facial/","unknown","90 dias propostos","first touch","N/D","médio se o path revelar interesse de saúde","CRM; BI","não capturado","perdido após navegação","P0","capturar path minimizado; não enviar a mídia"
"cta_page","ausente","Página onde o CTA foi acionado","location.pathname","clique no CTA","path canônico sem query/fragmento","evento de CTA","N/D","N/D","path interno allowlist","/lifting-facial/","unknown","vida da conversa","last touch","N/D","médio se granular","CRM; BI","não capturado","referência usa procedure, não página real","P0","capturar separadamente da landing"
"cta_location","parcial local","Posição técnica do CTA na página","data-cta-location","clique","enum técnico","dataLayer consentida","N/D","N/D","hero; sticky; footer; inline; nav; other","hero","other","janela analítica","last touch","alta no GA4 consentido","baixo","GA4; BI proposto","conversion-tracking.js","não chega ao WhatsApp/LEADS/CRM","P1","transportar no envelope first-party, sem texto livre"
"first_access_at","ausente","Momento do primeiro toque identificado","relógio do cliente/servidor","primeiro page load elegível","ISO-8601 UTC mais timezone de origem","envelope de jornada","N/D","N/D","timestamp válido","2026-08-15T12:00:00Z","unknown","90 dias propostos","first touch","N/D","baixo","CRM; BI","não capturado","sem base para ordem cronológica","P0","gerar no servidor quando possível e nunca sobrescrever"
"referrer","ausente","Referenciador técnico do primeiro acesso","document.referrer/cabeçalho","primeiro page load","origem/domínio normalizado; sem URL sensível","envelope de jornada","N/D","N/D","domínio allowlist; direct; unknown","chatgpt.com","unknown; não converter ausência em direto","curto prazo/90 dias conforme aprovação","first/last","N/D","médio; URL completa pode conter dados","CRM; BI","não capturado","referrer pode ser removido por política/navegador","P1","guardar apenas domínio/categoria e confiança"
"utm_source","existente temporário","Fonte declarada na URL","query string","page load","regex fechada até 80 caracteres","sessionStorage","N/D","N/D","valores normalizados","meta","unknown","sessão atual","last-write atual; proposto first/last","alta quando presente","baixo","CTA; BI proposto","marketingAttributionParams","não persistido como campo canônico","P1","guardar no envelope versionado"
"utm_medium","existente temporário","Meio declarado na URL","query string","page load","regex fechada até 80 caracteres","sessionStorage","N/D","N/D","cpc; paid_social; organic; referral","paid_social","unknown","sessão atual","last-write atual; proposto first/last","alta quando presente","baixo","CTA; BI proposto","marketingAttributionParams","não persistido como campo canônico","P1","guardar no envelope versionado"
"utm_campaign","existente temporário","Código/nome de campanha","query string","page load","regex fechada até 80 caracteres","sessionStorage","Campanha via referência","N/D","código canônico","M26F02S","origem; G26ADS para Google elegível","sessão atual","last-write atual; proposto first/last","alta quando presente","baixo","CTA; webhook; LEADS","marketingAttributionParams","sobrescreve valor anterior","P0","separar primeiro e último valor"
"utm_content","existente temporário","Código criativo fornecido","query string","page load","regex fechada até 80 caracteres","sessionStorage","Criativo via referência","N/D","código canônico","C01H01","unknown","sessão atual","last-write atual; proposto first/last","alta quando presente","baixo","CTA; LEADS","marketingAttributionParams","não distingue ad ID de creative code","P1","persistir dimensões separadas"
"utm_term","ausente","Palavra-chave/termo ValueTrack","query string Google","page load","texto limitado e minimizado","N/D","N/D","N/D","valor técnico permitido","termo-exemplo","unknown","janela de atribuição aprovada","last touch","N/D","médio; pode revelar intenção sensível","BI restrito","URL suffix documentado; allowlist não inclui","descartado pelo site","P1","capturar somente se necessário e com retenção restrita"
"utm_id","ausente","ID de campanha fornecido pela plataforma","query string","page load","ID opaco validado","N/D","N/D","N/D","ID numérico/string validado","123456789","unknown","janela de atribuição aprovada","first/last","N/D","baixo","CRM; BI","URL suffix documentado; allowlist não inclui","descartado pelo site","P1","capturar como platform_campaign_id"
"utm_adgroup","ausente","Código/ID de grupo Google","query string","page load","valor opaco validado","N/D","N/D","N/D","código interno/ID permitido","G26GRP01","unknown","janela de atribuição aprovada","first/last","N/D","baixo","CRM; BI","URL suffix documentado; allowlist não inclui","descartado pelo site","P1","capturar separadamente"
"click_id_type","implícito","Tipo do identificador de clique Google","query/mensagem","site e webhook","prioridade GCLID depois GBRAID depois WBRAID","sessionStorage/evento","três colunas separadas","três colunas separadas","GCLID; GBRAID; WBRAID","GCLID","unknown","sessão no site; vida da oportunidade no CRM","first touch","alta","identificador pseudônimo de publicidade","LEADS; CRM; Google Ads","Code.gs e LeadClassification.gs","não há coluna tipo no CRM; três colunas permitem cardinalidade inválida","P0","campo tipo+valor com constraint exatamente um"
"click_id_value","existente sensível","Identificador de clique para atribuição offline","query/mensagem","site/webhook","case-sensitive; regex 10–300","sessionStorage","GCLID/GBRAID/WBRAID","GCLID/GBRAID/WBRAID","um único valor válido","click_id_opaco_exemplo","unknown","sessão no site; vida da oportunidade no CRM","first touch","alta","identificador pseudônimo; não logar nem exibir","LEADS; CRM; Google Ads","conversion-tracking.js e Code.gs","é incluído em texto do WhatsApp; retenção externa N/D","P0","resolver por token first-party e restringir acesso"
"attribution_code","existente parcial","Referência compacta transportada no WhatsApp","UTM/origem+criativo+página","CTA","alfanumérico hífen/underscore até 80","href/texto e evento","Referência completa","Referência inicial","M26; G26; SITE; legado dual-read","M26F02S-C01H01-P01","unknown","vida da oportunidade","first/current","alta quando intacto","médio; código de página pode revelar interesse","WhatsApp; webhook; LEADS; CRM","buildReference","visível/editável e hoje inclui slug semântico","P0","usar token opaco versionado; manter dual-read"
