"url","arquivo","status_http","redirects","canonical","robots_indexabilidade","presente_no_sitemap","title","meta_description","h1","h2_h3","schema_principal","inlinks","outlinks","cta_whatsapp","cta_rastreado","html_publico_bytes","recursos_pesados","teste_mobile","erros_riscos","prioridade","classificacao","fonte","observado_em_fuso","metodo","periodo","limitacao","confianca"
"https://draamandaschroeder.com.br/","index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/","permitida; sem noindex/X-Robots impeditivo","sim","Cirurgiã Plástica em São Paulo | Dra. Amanda Schroeder","Cirurgia plástica facial, de mamas e contorno corporal com a Dra. Amanda Schroeder, CRM-SP 191605 e RQE 110472. Consulta particular em Pinheiros.","Cirurgia plástica para quem quer mudar sem deixar de se reconhecer.","20","Physician|MedicalClinic|WebSite|FAQPage","43","20","7","7","30647","17,91 MB de mídia referenciada; maior arquivo 10,37 MB; vídeo preload=metadata","390x844: sem overflow global; DOM/console OK","sem bloqueio; risco de mídia e conflito global com domínio legado","P1","fato observado+cálculo+inferência","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local+render Chrome","snapshot","CWV e estado GSC por URL N/D","alta"
"https://draamandaschroeder.com.br/procedimentos/","procedimentos/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/procedimentos/","permitida; sem noindex/X-Robots impeditivo","sim","Procedimentos de Cirurgia Plástica | Dra. Amanda Schroeder","Conheça os procedimentos cirúrgicos e não cirúrgicos realizados pela Dra. Amanda Schroeder para face, pescoço, mamas, contorno corporal e cirurgia íntima.","O melhor plano começa pela queixa — não pelo nome do procedimento.","6","CollectionPage|Physician|BreadcrumbList","17","23","3","3","13953","nenhum arquivo local >5 MB referenciado","N/D individual","nenhum bloqueio técnico observado","P2","fato observado+cálculo","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/avaliacao-facial/","avaliacao-facial/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/avaliacao-facial/","permitida; sem noindex/X-Robots impeditivo","sim","Avaliação Facial em São Paulo | Dra. Amanda Schroeder","Avaliação facial com a Dra. Amanda Schroeder em Pinheiros para entender flacidez, olhar, contorno, pescoço e alternativas cirúrgicas ou não cirúrgicas.","Você não precisa escolher uma cirurgia antes de entender o seu rosto.","29","MedicalWebPage|Physician|FAQPage|BreadcrumbList","17","22","6","6","31663","16,54 MB de mídia referenciada; maior 10,37 MB; vídeos preload=metadata","N/D individual","risco de mídia; impacto real N/D","P1","fato observado+cálculo+inferência","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/mama/","mama/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/mama/","permitida; sem noindex/X-Robots impeditivo","sim","Cirurgia de Mama em São Paulo | Dra. Amanda Schroeder","Avaliação de cirurgia de mama em São Paulo para queda, perda ou excesso de volume, assimetrias e mudanças após gestação ou emagrecimento.","Uma cirurgia de mama que começa pelo que você deseja sentir e preservar.","32","MedicalWebPage|MedicalProcedure|Physician|FAQPage|BreadcrumbList|ItemList","40","23","7","7","32605","12,28 MB de mídia referenciada; maior 10,37 MB; vídeo preload=metadata","N/D individual","risco de mídia; impacto real N/D","P1","fato observado+cálculo+inferência","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/mastopexia/","mastopexia/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/mastopexia/","permitida; sem noindex/X-Robots impeditivo","sim","Mastopexia em São Paulo | Dra. Amanda Schroeder","Mastopexia em São Paulo para seios caídos, peito murcho, mamilo para baixo e perda de sustentação, com ou sem prótese conforme o caso.","Quando o incômodo é a mama caída — com ou sem desejo de mais volume.","35","MedicalWebPage|MedicalProcedure|Physician|MedicalClinic|FAQPage|BreadcrumbList","26","14","5","5","25301","nenhum arquivo local >5 MB referenciado","N/D individual","nenhum bloqueio técnico observado","P2","fato observado+cálculo","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/mastopexia-com-protese/","mastopexia-com-protese/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/mastopexia-com-protese/","permitida; sem noindex/X-Robots impeditivo","sim","Mastopexia com Prótese em São Paulo | Dra. Amanda Schroeder","Mastopexia com prótese em São Paulo para queda associada a peito murcho, perda de colo e falta de volume, com planejamento individual.","Elevar a mama e recuperar volume, sem escolher o implante antes da anatomia.","36","MedicalWebPage|MedicalProcedure|Physician|MedicalClinic|FAQPage|BreadcrumbList","17","15","5","5","26682","nenhum arquivo local >5 MB referenciado","N/D individual","nenhum bloqueio técnico observado","P2","fato observado+cálculo","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/mamoplastia-redutora/","mamoplastia-redutora/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/mamoplastia-redutora/","permitida; sem noindex/X-Robots impeditivo","sim","Mamoplastia Redutora em São Paulo | Dra. Amanda Schroeder","Mamoplastia redutora em São Paulo para mama pesada, dor nas costas, marcas de alça, assaduras e dificuldade com roupas ou exercícios.","Reduzir peso e volume sem perder de vista forma, cicatrizes e proporção.","34","MedicalWebPage|MedicalProcedure|Physician|MedicalClinic|FAQPage|BreadcrumbList","26","14","5","5","25045","nenhum arquivo local >5 MB referenciado","N/D individual","nenhum bloqueio técnico observado","P2","fato observado+cálculo","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/protese-de-mama/","protese-de-mama/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/protese-de-mama/","permitida; sem noindex/X-Robots impeditivo","sim","Prótese de Mama em São Paulo | Dra. Amanda Schroeder","Prótese de mama em São Paulo para pouco volume, sutiã vazio, perda de colo ou assimetria, com escolha baseada em medidas e tecidos.","Mais volume com proporção: a escolha começa nas medidas, não nos mililitros.","36","MedicalWebPage|MedicalProcedure|Physician|MedicalClinic|FAQPage|BreadcrumbList","17","15","5","5","26331","nenhum arquivo local >5 MB referenciado","N/D individual","nenhum bloqueio técnico observado","P2","fato observado+cálculo","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","CWV/mobile visual/GSC N/D","alta"
"https://draamandaschroeder.com.br/injetaveis/","injetaveis/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/injetaveis/","permitida; sem noindex/X-Robots impeditivo","sim","Injetáveis faciais em São Paulo | Dra. Amanda Schroeder","Toxina botulínica, preenchimento e bioestimuladores em São Paulo com planejamento facial, produtos regularizados, segurança e busca por resultados naturais.","Tratar o que incomoda sem transformar o seu rosto.","35","MedicalWebPage|MedicalProcedure|Physician|FAQPage|BreadcrumbList","27","22","6","6","27581","13,16 MB de mídia referenciada; maior 10,37 MB; vídeo preload=metadata","N/D individual","lastmod 2026-07-12 difere de dateModified 2026-08-02; risco de mídia","P1","fato observado+cálculo+inferência","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","datas exigem verdade editorial; CWV/GSC N/D","alta"
"https://draamandaschroeder.com.br/blefaroplastia/","blefaroplastia/index.html","200","0 (URL canônica)","https://draamandaschroeder.com.br/blefaroplastia/","permitida; sem noindex/X-Robots impeditivo","sim","Blefaroplastia em São Paulo | Dra. Amanda Schroeder","Blefaroplastia em São Paulo para pálpebra caída, bolsas nos olhos, olhar cansado e excesso de pele, com avaliação individual e preservação da expressão.","Blefaroplastia para melhorar o olhar sem apagar sua expressão.","39","MedicalWebPage|MedicalProcedure|Physician|FAQPage|BreadcrumbList","42","22","6","6","33665","12,73 MB de mídia referenciada; maior 10,37 MB; vídeo preload=metadata","N/D individual","lastmod 2026-07-10 difere de dateModified 2026-08-02; risco de mídia","P1","fato observado+cálculo+inferência","site público+repositório","2026-08-15 09:39-10:01 UTC-03","GET público+parser HTML+grafo local","snapshot","datas exigem verdade editorial; CWV/GSC N/D","alta"
