"prioridade","classificacao","campanha","grupo","tipo","texto_atual","texto_sugerido","caracteres","intencao","hipotese","evidencia","risco","metrica_principal","guardrail","duracao_minima","regra_manter","regra_reverter"
"P2","Testar","S_BR_SP_MARCA","AG_MARCA","Título RSA","{Keyword:Consulta Pinheiros}","Site Oficial da Dra. Amanda","27","Marca/navegação","Distinguir o domínio oficial do resultado antigo sem depender de inserção dinâmica.","15 impressões e 2 cliques em 30d; baixo volume, portanto teste oportunista.","Baixo; pode reduzir variação semântica.","CTR de marca e contatos válidos","Não reduzir parcela de impressões de marca abaixo de 90%.","28 dias ou 30 cliques","Manter se CTR não cair >20% e houver continuidade ao site.","Reverter se cobertura/CTR cair sem ganho de contato."
"P1","Testar","S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","Título RSA","Avaliação do Olhar","Plástica das Pálpebras","22","Linguagem leiga direta","Aumentar aderência às buscas leigas sem classificar o termo como irrelevante.","As versões frase+exata somaram 163 cliques e R$235,74; 0 conversões agregadas atribuídas à palavra, com rastreamento qualificado incompleto.","Pode elevar clique de pesquisa inicial.","Taxa de contato válido e CPQL do termo","CPC +25% ou contato válido -20%.","14 dias e ≥50 cliques no teste","Manter se contato válido/qualificado melhorar sem piorar guardrail.","Reverter se aumentar clique sem avanço no funil."
"P1","Testar","S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","Título RSA","Consulta Particular em SP","Consulta Particular R$ 500","26","Pré-qualificação comercial","Reduzir contatos incompatíveis com atendimento particular antes do clique.","R$689,46 e 473 cliques em 30d; apenas 1 resultado qualificado rotulado.","Pode reduzir CTR e volume de contatos que ainda aceitariam o valor.","Taxa de lead qualificado por clique","CTR não cair >20%; CPC não subir >25%.","14 dias e ≥50 cliques por variante","Manter se CPQL cair e volume qualificado não cair.","Reverter se qualificados caírem >20%."
"P1","Testar","S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","Descrição RSA","Entenda cicatrizes, recuperação, riscos e limites durante a consulta médica.","Consulta particular em Pinheiros por R$ 500. Avalie indicação, limites e recuperação.","85","Pré-qualificação + segurança","Combinar preço da consulta com linguagem médica sóbria.","A campanha lidera gasto e CTR, mas o downstream é incompleto.","Redução de cliques por preço explícito.","Contato válido/clique e CPQL","CTR -20% e zero qualificado após 50 cliques.","14 dias e ≥50 cliques","Manter se a qualidade melhorar com volume aceitável.","Reverter se só reduzir volume."
"P1","Testar","S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","Título RSA","Contorno sem Aspecto Esticado","Lifting Cervical ou Lipo?","25","Diagnóstico diferencial","Responder melhor à dúvida cirurgia versus lipo e reduzir promessa implícita.","RSA 'Na média'; 177 cliques, R$227,57 e 4 conversões agregadas em 30d, sem resultado qualificado.","Pode canibalizar a mensagem do grupo de lipo.","Contato válido e CPQL","CPC +25%; termos de lipo no grupo cervical +20%.","14 dias e ≥50 cliques","Manter se aumentar contato válido e não deslocar termos.","Reverter se elevar canibalização ou piorar qualidade."
"P1","Testar","S_BR_SP_LIFTING_CERVICAL","AG_CERVICOPLASTIA","Título RSA","Face e Pescoço em Harmonia","Consulta Particular R$ 500","26","Pré-qualificação comercial","Filtrar expectativa de atendimento gratuito/convênio.","Termos de alternativas e convênio apareceram no recorte; downstream qualificado N/D.","Menor CTR.","Lead qualificado/clique","CTR -20% e nenhuma melhora de qualidade.","14 dias e ≥50 cliques","Manter se CPQL melhorar.","Reverter se apenas perder volume."
"P1","Testar","S_BR_SP_LIFTING_FACIAL","AG_LIFTING_FACIAL","Título RSA","Rejuvenescer com Naturalidade","Lifting, Mini ou Não Operar","27","Decisão clínica sem pressão","Diferenciar pela avaliação criteriosa e reduzir repetição de 'naturalidade'.","492 cliques, R$681,27, 17 conversões agregadas e 1 resultado qualificado em 30d.","Título menos transacional.","Lead qualificado/clique","Cliques -25% sem ganho de qualidade.","14 dias após a importação ficar segura","Manter se qualidade aumentar sem supressão relevante.","Reverter se volume cair sem ganho de qualidade."
"P1","Testar","S_BR_SP_LIFTING_FACIAL","AG_LIFTING_FACIAL","Título RSA","Ver Disponibilidade","Consulta Particular R$ 500","26","Pré-qualificação","Antecipar custo da consulta e reduzir contatos incompatíveis.","Maior volume da conta; sinal qualificado ainda baixo.","Queda de CTR.","CPQL e qualificados","CTR -20% e qualificados -20%.","14 dias e ≥50 cliques por variante","Manter se CPQL cair.","Reverter se qualificados caírem."
"P2","Testar","S_BR_SP_LIFTING_FACIAL","AG_LIFTING_FACIAL_PRECO","Título RSA","Resultado Natural e Individual","Faixas de Preço e Custos","24","Preço/educação","Explicitar que a página responde faixas e componentes do orçamento.","36 cliques, R$45,03 e 0 conversões agregadas; amostra pequena.","Atrair pesquisa puramente comparativa.","Contato válido/clique","CPC +25% ou engajamento -20%.","28 dias ou ≥50 cliques","Manter se gerar primeiro qualificado ou elevar contato válido.","Reverter se aumentar clique sem contato."
"P2","Testar","S_BR_SP_LIFTING_FACIAL","AG_LIFTING_FACIAL_PRECO","Descrição RSA","Entenda como equipe, anestesia e hospital compõem o investimento da cirurgia facial.","Veja faixas de referência e o que compõe o orçamento antes de decidir pela avaliação.","85","Preço/educação","Alinhar anúncio ao conteúdo real da página sem prometer preço final.","Página responde faixas, mas 36 cliques ainda sem conversão agregada.","Pode aumentar tráfego informacional.","Contato válido e profundidade da página","Zero contato válido após 50 novos cliques.","28 dias ou ≥50 cliques","Manter se houver avanço de funil.","Reverter se só elevar consumo informacional."
