"ID","grupo_prioridade","area","problema","evidencia","campanha_ativa_ou_pagina_afetada","mudanca_proposta","impacto_esperado","confianca","urgencia","esforco","risco","dependencias","responsavel_sugerido","metrica_principal","guardrail","duracao","criterio_para_manter","criterio_para_ampliar","criterio_para_reverter","necessidade_de_aprovacao"
"DAT-01","bloqueadores de mensuração","Dados e LEADS","Fase diverge entre CRM e aba operacional","26/126 oportunidades Amanda divergentes; na amostra semântica, 7/14 etapas/status incoerentes","_CRM_OPORTUNIDADES e Google Ads - Conversões","Atualizar ambas as fases na mesma transação idempotente","Uma única leitura confiável do estágio","alta","P0","médio","Regressão ou sobrescrita de correção humana","Contrato de status e testes","Engenharia","divergências novas por dia","Nunca regredir fase automaticamente; preservar override humano","14 dias","0 divergência nova e writes idempotentes","Após 14 dias estáveis, liberar painel por estágio","Qualquer regressão ou perda de override","Sim — Daniel"
"DAT-02","correções críticas","Dados e LEADS","Linhas duplicadas na aba operacional","129 linhas para 126 oportunidades; dois grupos duplicados","Google Ads - Conversões","Deduplicar reversivelmente e bloquear nova linha para ID existente","Evitar dupla contagem e status concorrente","alta","P0","baixo-médio","Mesclar oportunidades legítimas da mesma pessoa","DAT-01 e backup auditável","Engenharia","linhas por Opportunity ID","Nunca deduplicar apenas por telefone","7 dias","126 linhas para 126 IDs e zero nova duplicidade","Automatizar teste diário de unicidade","Aparecer perda de oportunidade ou vínculo","Sim — Daniel"
"DAT-03","bloqueadores de mensuração","Dados e LEADS","Consultas sem oportunidade","33/43 consultas sem Opportunity ID","Consultas e _CRM_OPORTUNIDADES","Tornar ID obrigatório em novas consultas e retroprocessar apenas vínculos comprováveis","Atribuir consulta a origem/campanha","alta","P0","médio-alto","Associação histórica falsa","Agenda, CRM e revisão humana","Engenharia e atendimento","cobertura de Opportunity ID em consultas","Ambiguidade permanece em revisão; nunca adivinhar","30 dias","100% novas e >=95% do histórico reconciliável","Liberar análise por campanha após meta","Desfazer vínculos contestados mantendo trilha","Sim — Daniel e operação"
"DAT-04","bloqueadores de mensuração","Dados e LEADS","Agenda e planilha quase não conciliam","1/10 IDs da planilha conciliado; 18/19 eventos ao vivo sem vínculo","Consultas e Google Calendar","Unificar solicitado, escolhido, agendado, confirmado, realizado, falta e cancelado com event_id real","Tornar consulta um resultado auditável","alta","P0","alto","Confirmar sem sala ou atribuir evento errado","DAT-03, Calendar e confirmação humana","Engenharia e atendimento","% novas consultas conciliadas","Nenhuma confirmação ao paciente antes de sala/equipe; zero PII no evento","30 dias","cobertura >=95% e zero confirmação órfã","Importar consulta para mídia só depois de 30 dias estáveis","Cobertura <95% ou conflito de sala","Sim — Daniel, Amanda e operação"
"DAT-05","mudanças estruturais","Dados e LEADS","Marcos e timestamps downstream incompletos","28 oportunidades em estágio qualificado+ versus 22 datas; marcos comerciais não tipados","Ledger de estágios e abas operacionais","Persistir timestamps imutáveis e marcar backfill separadamente","Formar coortes e medir tempo entre etapas","alta","P1","médio","Fabricar data histórica","DAT-01 e esquema versionado","Engenharia","completude por marco","Data desconhecida fica nula; origem humana preservada","14 dias novos + backfill controlado","completude >=95% nas novas oportunidades","Expandir para aceite, realização e pagamento após QA","Qualquer timestamp inventado ou sobrescrito","Sim — Daniel"
"DAT-06","ganhos rápidos","Dados e LEADS","Painéis usam denominadores errados","Painel mostra 499 para 129 linhas e omite 27 WhatsApp direto","Funil Comercial e Painel Econômico","Recalcular por oportunidade deduplicada, coorte e janela explícita","Painel gerencial reconciliável","alta","P1","médio","Publicar números aparentes sem fechar fonte","DAT-01, DAT-02 e query de controle","Dados e engenharia","diferença painel versus fonte","Painel bloqueia publicação quando a reconciliação falhar","14 dias","diferença <2% em todas as dimensões","Adicionar novas métricas somente com definição","Retirar painel de uso se divergir novamente","Sim — Daniel"
"DAT-07","correções críticas","Dados e LEADS","Atribuição paga pode cair em fallback","Baseline: M26F02S com zero código exato e 27 linhas WhatsApp direto; 14/08: ledger prospectivo e sonda aprovados","Entrada WhatsApp e todas as páginas","Instrumentação publicada; medir campanha/criativo e motivo explícito de fallback nos novos contatos","Distinguir perda técnica de tráfego orgânico/direto","alta","P1","médio","Sobrescrever atribuição congelada","WEB-01, MAD-01 e contrato de privacidade","Engenharia e mídia","% contatos pagos com código ou motivo","Atribuição só muda por evento auditável","14 dias","cobertura >=95% e duplicidade <2%","Expandir dimensões por criativo após estabilidade","Qualquer PII/PHI ou atribuição falsa","Sim — Daniel"
"DAT-08","bloqueadores de mensuração","Dados e LEADS","Conversão offline tem dois nomes e status Google de atenção","Cinco transações sem duplicidade; dois nomes de ação; ação principal Requer atenção","IMPORT_GOOGLE_ADS e Google Ads","Consolidar ledger e reconciliar elegíveis, enviados, aceitos e rejeitados na ação vigente","Recuperar sinal de qualidade para lances","alta","P0","médio","Duplicidade ou upload na ação errada","GAD-01 e acesso Google Ads","Engenharia e mídia","taxa de aceitação e correspondência","Exatamente um click ID elegível; base/política aplicável; zero PII/PHI; consentimento manual de contato não é gate e não pode ser fabricado","48 h + 7 dias estáveis","100% em estado final e ação saudável","Usar em Smart Bidding apenas com volume suficiente","Suspender upload novo se houver duplicidade/exposição","Sim — Daniel; meta exige Daniel e Amanda"
"DAT-09","ganhos rápidos","Dados e LEADS","Painel de saúde está quebrado e obsoleto","#VALUE! e referência à primeira aba legada","Saúde das Integrações","Atualizar checks para IMPORT_GOOGLE_ADS e intervalos compatíveis","Detecção correta de falhas","alta","P1","baixo","Falso verde ou falso alarme","DAT-08","Engenharia","erros de fórmula e cobertura de checks","Check obsoleto falha explicitamente","7 dias","zero erro e checks batem com fonte atual","Adicionar alertas somente após validar precisão","Desativar indicador que divergir da fonte","Sim — Daniel"
"DAT-10","mudanças estruturais","Dados e LEADS","Não há reconciliação diária por campanha ativa","Métricas de plataforma, CRM e agenda divergem","Todas as campanhas ativas","Criar tabela diária agregada por campanha e etapa do funil","Decisão semanal com fonte e janela comuns","alta","P1","médio","Misturar estoque, evento e coorte","DAT-03 a DAT-09","Dados, mídia e operação","diferença entre fontes e completude","Sem projeção com cobertura <95% ou volume insuficiente","30 dias","diferença <2% e completude >=95%","Adicionar custos/receita apenas quando confiáveis","Suspender relatório causal se guardrails quebrarem","Sim — Daniel"
"GAD-01","bloqueadores de mensuração","Google Ads","Ação principal qualificada requer atenção","Lead qualificado GCLID está Principal, 0 em 12/08 e Requer atenção","Seis campanhas Google ativas","Diagnosticar upload, click IDs, aceitação e deduplicação","Restaurar o único sinal de negócio usado","alta","P0","médio","Otimizar com sinal errado","DAT-08","Engenharia e gestor Google Ads","eventos elegíveis, aceitos e rejeitados","WhatsApp permanece secundário; zero PII/PHI","48 h + 7 dias","ação saudável e Ads fecha com CRM","Ampliar uso após 20–30 aceitas/30 dias","Reverter automação nova se sinal divergir","Sim — Daniel; metas exigem Amanda"
