"id","prioridade","status_execucao","publicacao_live","evidencia_ou_motivo","pendencia_exata","proxima_acao_autorizada"
"SEC-001","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Apps Script local gera LIV-QL-v1 por HMAC; rejeita formato inseguro; prevê quarentena e migração confirmada","Histórico Google não lido; nenhuma planilha externa foi escrita ou migrada","Auditar histórico somente leitura; depois planejar migração separada com autorização específica"
"SEC-002","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Envelope operacional usa categoria; motivo; timestamp e correlation ID HMAC; claimant C1 usa HMAC separado; purge limitado tem testes locais verdes","Retenção; acesso; backups e expurgo de sistemas externos não definidos; purge ainda sem deploy ou observação live","Aprovar política operacional/jurídica; configurar segredos no pacote autorizado; publicar default-off e verificar logs e purge"
"SEC-003","P0","implementado_local_nao_publicado","nao_publicado_nao_verificado","Build estático exclui auditorias e teste local cobre rota sentinela fora do artefato","Commit aprovado; deploy e smoke 404 live ausentes","Revisar artefato; commitar pacote intencional; publicar apenas com autorização e executar smoke"
"SEC-004","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Purge diário limitado de J1/claims e J2 expirados está preparado e coberto por testes locais; nenhuma política externa foi inventada","Necessidade; acesso; backups; retenção e obrigação legal dos sistemas externos exigem inventário e decisão","Inventariar sistemas e obter decisão jurídica antes de qualquer expurgo externo; verificar o purge do backend após publicação autorizada"
"CNS-001","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","Configuração local está em modo básico e texto de privacidade possui ajuste local","Parecer LGPD e reconciliação live entre flag; loader; política e plataformas ausentes","Aprovar decisão única de privacidade; testar rede e publicar tudo no mesmo pacote autorizado"
"ATR-001","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Não houve sonda Meta live nem mudança de gasto","Contrato; autorização Meta; sonda controlada e reconciliação LEADS=CRM ausentes","Manter gasto novo em zero; corrigir gates locais e executar sonda autorizada"
"ATR-002","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","Jornada separa first; last; last non-direct e conversa atual; provider Event ID e Opportunity ID cumprem papéis de join distintos","Ledger E2E imutável e equivalência live das projeções não comprovados","Fechar QA local; testar retries e reconciliar projeções em sonda autorizada"
"ATR-003","P0","implementado_local_nao_publicado","nao_publicado_nao_verificado","Envelope local normaliza Meta campaign; adset; ad; landing; CTA e limita tamanhos","Publicação e prova E2E com campanha Meta real ausentes","Manter contrato mínimo; publicar default-off e validar em sonda controlada"
"ATR-004","P0","implementado_local_nao_publicado","nao_publicado_nao_verificado","TTL local é absoluto; o primeiro registro congela todo o envelope J2; retry equivalente não regrava e divergência; vencimento ou corrida falham fechados; purge tem testes verdes","Nenhuma expiração ou remoção física foi observada live; função agendada e segredo manual ainda não foram publicados","Publicar default-off somente com autorização; observar a primeira execução e validar retenção sem dados pessoais nos logs"
"ATR-005","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","J1 single-use é rotacionado; C1 HMAC vincula o claim após o primeiro resgate; JID é removido antes do bot e de Sheets; click IDs saem do texto no modo rico","JID continua visível; editável e encaminhável; remoção/edição perde resolução e encaminhamento antes do primeiro claim pode atribuir ao destinatário","Decidir e documentar aceitação do risco ou comprovar alternativa; atualizar privacidade; só então executar sonda controlada"
"ATR-006","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Não houve leitura ou escrita autorizada na Meta nem catálogo externo validado","Códigos estáveis e mapeamento campanha/conjunto/anúncio dependem da Meta","Definir catálogo versionado; depois aplicar parâmetros em trabalho externo autorizado"
"ATR-007","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","reported_origin possui campo e projeção próprios em eventos; CRM e LEADS; enum fechado; confiança patient_reported e preenchimento sem sobrescrever first/current observados","Não há produtor estruturado nem operação live; nenhum texto livre deve ser interpretado automaticamente","Definir entrada humana explícita e autorizada; validar projeção no alvo canônico sem inferência por mensagem"
"ATR-008","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","Logs locais padronizam categoria; motivo; status; timestamp e correlation ID; retries preservam idempotência","Alerta agregado sem PII não foi comprovado","Definir agregado por categoria/janela; testar deduplicação sem conteúdo ou IDs reversíveis"
"ATR-009","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","Registro canônico v1 documenta G26; M26; legados; valor bruto versus resolvido e conflito M26O01W; backfill local falha fechado para esse conflito","Aliases das plataformas e reconciliação histórica completa ainda não foram validados por evidência determinística","Validar catálogo externo somente leitura; versionar aliases 1:1 e manter conflitos como N/D"
"DAT-001","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Estados locais de preparação não provam receipt do Google Data Manager","Job; receipt; aceitação; erro e reconciliação externa não observados","Obter acesso somente leitura; exportar recibos e definir escrita em pacote separado"
"DAT-002","P2","implementado_local_nao_publicado","nao_publicado_nao_verificado","Schema v1 aditivo; flag default-off; preflight; dry-run e confirmações aparecem no Apps Script local","Alvo real; consumidores e migração em cópia não verificados","Validar alvo canônico antes de escrita; rodar dry-run e aprovar migração separada"
"DAT-003","P1","parcial_local_nao_publicado","nao_publicado_nao_verificado","Projeções locais preservam first touch e atualizam current touch por timestamp; testes cobrem dimensões inicial e atual separadas","Referência bruta legada pode divergir da projeção canônica; ledger E2E atômico e equivalência live LEADS=CRM não foram comprovados","Executar sonda autorizada após schema; comparar a mesma Opportunity ID e expor bruto versus resolvido sem sobrescrever"
"DAT-004","P2","parcial_local_nao_publicado","nao_publicado_nao_verificado","Migração local possui backfill separado; confiança/fallback; dry-run zero-write e guarda determinística para o conflito M26O01W","Aliases externos; revisão histórica e migração no alvo real não foram executados","Aceitar somente chaves 1:1; registrar método/data/confiança; manter ambíguos N/D e exigir autorização separada para aplicar"
"DAT-005","P2","parcial_local_nao_publicado","nao_publicado_nao_verificado","Painéis locais ganharam métricas de SLA; rota e gate composto com N/D seguro quando falta evidência","Schema de atribuição; dados live e fonte runtime verificada para P0/P1 vencidos ainda não existem","Publicar somente após autorização; estabelecer baseline e completar o painel de atribuição depois da reconciliação"
"SEO-001","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Estado Wix; DNS e Search Console não foi consultado nesta execução","Propriedade; indexação e mapa de URLs reais dependem de acesso externo","Ler estado real; só depois propor 301; canonical ou remoção"
"SEO-002","P1","implementado_local_nao_publicado","nao_publicado_nao_verificado","Gate local cobre 200 esperado; canonical; robots; H1; sitemap; órfãos e redirects","CI/publicação e smoke live não executados","Revisar relatório; commitar e usar o gate no fluxo autorizado de deploy"
"SEO-003","P2","planejado","nao_se_aplica","Não há baseline novo Lighthouse; WebPageTest ou CrUX neste trabalho","Baseline e experimento por classe de recurso ausentes","Capturar baseline antes de otimizar e alterar uma classe por teste"
"AI-001","P2","parcial_local_nao_publicado","nao_publicado_nao_verificado","robots.txt local separa OAI-SearchBot e GPTBot e o teste cobre ambas as regras","Decisão formal; validação de IP e observação live não concluídas","Registrar decisão explícita e validar tecnicamente sem prometer indexação ou citação"
"AI-002","P1","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma ficha factual aprovada ou perfil externo foi alterado","CRM; RQE; vínculos e perfis exigem validação documental e aprovação textual","Montar ficha somente leitura; validar fatos; editar schema/perfis apenas depois"
"AI-003","P2","parcial_local_nao_publicado","nao_publicado_nao_verificado","Jornada local captura referrer_type e ai_source em lista limitada com confiança","Cobertura live e enum final não verificados","Completar enum; testar referrers explícitos e manter desconhecido sem evidência"
"COM-001","P0","parcial_local_nao_publicado","nao_publicado_nao_verificado","As faixas cirúrgicas de lifting foram removidas localmente das páginas públicas e a resposta privada do bot recebeu salvaguardas; Google Ads permaneceu somente leitura","Publicação; verificação em produção e parecer Codame ou jurídico ainda pendentes; a mudança reduz risco mas não garante conformidade","Concluir QA; obter autorização de publicação; manter os dois grupos; revisar a operação em 28 dias e preferencialmente após 100 cliques no grupo de preço"
"COM-002","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhuma nova alegação de ranking foi implementada","Validação médica/Codame e inventário de vistas faltam","Congelar reuso; validar casos e autorização antes de qualquer edição"
"COM-003","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum gate etário público foi criado","Abrangência normativa e parecer pendentes","Confirmar norma; inventariar rotas e só então desenhar gate acessível"
"COM-004","P0","bloqueado_externo_ou_juridico","nao_inspecionado","Nenhum documento sensível foi adicionado ao repositório","Inventário restrito de consentimento; finalidade; validade e revogação pendente","Manter inventário fora do repo público e obter decisão médica/jurídica"
"COM-005","P2","planejado","nao_se_aplica","Nenhum teste editorial novo foi executado","Hipótese; controle e métrica downstream ainda não aprovados","Escolher uma hipótese por página após fechar atribuição e baseline"
