"id","prioridade","classificacao","campanha_grupo","problema_observado","evidencia_numerica","mudanca_exata","impacto_esperado","nivel_confianca","risco","metrica_principal","guardrail","duracao_minima","regra_manter","regra_reverter"
"GAD-01","P0","Corrigir agora","Importação offline / Apps Script / Data Manager","3/5 IDs de transação preparados carregam informação derivável de WhatsApp/telefone; 14/17 IDs históricos visíveis usam formatos WA ou wamid.","3/5 no staging atual; 7 WA + 7 wamid + 2 LIV + 1 vazio no histórico visível.","Antes do próximo envio, suspender a projeção/conexão; gerar LIV-QL-v1-<HMAC-SHA256 base64url de customer_id|Opportunity ID|qualified_lead> com segredo ≥32 bytes; aceitar só ^LIV-QL-v1-[A-Za-z0-9_-]{43}$; quarentenar legados e não registrar telefone, wamid, click ID ou referência no transaction ID.","Eliminar exposição reversível e tornar a deduplicação segura.","Alta","Trocar IDs já aceitos pode duplicar conversões; não migrar cegamente.","0 IDs fora do regex; 0 PII derivável; 100% de eventos com Event ID único.","Nenhum reenvio até saber o status externo do ID legado.","Correção técnica antes do próximo ciclo de importação.","Manter quando preflight, migração e auditoria de privacidade passarem.","Rollback deve apenas parar a projeção; nunca restaurar IDs inseguros."
"GAD-02","P0","Corrigir agora","Google Ads / Lead qualificado GCLID","Há 5 eventos elegíveis/preparados, 3 conversões visíveis na ação e apenas 2 Resultados no export até 13/08; aceite/rejeição linha a linha é N/D.","Data Manager mostra 50% (1/2) de eventos importados no último dia; telas de Uploads/Horários sem recibo detalhado.","Registrar que a ação está Principal, incluída nas metas e presente na meta personalizada das 6 campanhas, porém em Requer atenção. Auditar conexão, agenda, fuso, histórico e diagnósticos por job; classificar cada evento como accepted_legacy, rejected, not_sent ou quarantined; nunca inferir taxa de match pela diferença 5→3 e não usar o sinal para escala/tCPA até 7 dias íntegros.","Permitir CPQL e Smart Bidding confiáveis sem duplicidade.","Alta para a lacuna; média para a causa.","Pausar importação reduz temporariamente o sinal, mas evita exposição/duplicação.","Taxa de sucesso/aceite por job e diferença staging↔Ads.","100% dos eventos com recibo ou estado explícito; zero duplicidade externa.","48 horas após autorização; depois 7 dias de observação.","Manter automação quando ≥95% dos eventos válidos tiverem estado verificável.","Reabrir incidente se diferença persistir ou diagnóstico cair abaixo de 90%."
"GAD-03","P0","Corrigir agora","Relatórios e decisões de todas as campanhas","A coluna Conversões mistura proxy de clique no WhatsApp e lead qualificado; o CPA de R$57,28 não é CPL qualificado.","30d: 40 conversões agregadas no export; visão ao vivo: 38 WA proxy secundárias e 3 offline qualificadas em corte distinto.","Nos relatórios, separar WA proxy, Lead qualificado GCLID, consulta agendada, realizada e procedimento; usar N/D quando não reconciliado e não somar ações de natureza diferente.","Impedir escala ou pausa baseada em um CPA enganoso.","Alta","O painel exibirá menos números, porém mais verdadeiros.","CPQL, custo por consulta e taxas de avanço por campanha.","Soma por ação deve reconciliar com Ads e ledger sem misturar janelas.","Imediato; revisão semanal.","Manter permanentemente.","Não reverter para CPA agregado."
"GAD-04","P0","Corrigir agora","Tracking de campanhas e CRM","Otoplastia não tem _camp; códigos Ads e CRM divergem e LPP01/LC01/BF01/LF01 são ambíguos.","16 oportunidades Google, mas downstream por campanha é N/D; 4/16 sem click ID; OTO não tem _camp.","Definir parâmetros canônicos por campanha (G26BLEF, G26LIFT, G26CERV, G26OTO, G26FACE, G26MARCA), manter mapa de aliases históricos, testar GCLID/GBRAID/WBRAID e código resolvido até o WhatsApp/CRM; remover LPP01 da URL somente após o alias estar coberto.","Fechar atribuição por procedimento e reduzir origem desconhecida.","Alta","Mudança simultânea pode quebrar séries históricas.","Cobertura de código canônico e click ID por contato Google.","≥95% das novas conversas Google com campanha canônica; zero perda de GCLID.","Teste técnico + 7 dias por campanha, uma campanha por vez.","Manter se cobertura ≥95% e aliases históricos continuarem legíveis.","Reverter o parâmetro da campanha se a sonda ponta a ponta falhar."
"GAD-05","P1","Corrigir agora","Negativas das 5 campanhas não-Marca","Termos de SUS, gratuito, convênio, Projeto Orelhinha, concorrentes e alternativas consumiram impressões/cliques.","Projeto Orelhinha: 34 impr/2 cliques/R$4,19; SUS: 14 impr/1 clique/R$2,57; blefaroplastia preço popular: 16 cliques/R$21,69 (não negativar).","Adicionar apenas negativas específicas ausentes na lista exata de propostas; preservar plástica das pálpebras, preço/valor/quanto custa, fio de sustentação e lobuloplastia até reconciliação.","Reduzir desperdício sem bloquear linguagem leiga legítima.","Média por cobertura parcial dos termos.","Bloquear paciente disposto a pagar particular após pesquisar convênio/gratuidade.","Gasto em categorias excluídas e contatos válidos.","Cliques de alta intenção não cair >15%; revisar termos reais semanalmente.","14 dias.","Manter se gasto excluído cair e contatos válidos não piorarem.","Remover a negativa específica que bloquear consulta legítima comprovada."
"GAD-06","P1","Corrigir agora","S_BR_SP_OTOPLASTIA / Adulto","RSA contém título duplicado, 'Resultado Natural' e 'Cirurgiã Plástica Facial', com redundância e ambiguidade regulatória.","134 cliques, R$283,07 e 0 Resultados qualificados em 30d.","Substituir os três títulos conforme ANUNCIOS-E-RECURSOS-PROPOSTOS.csv, sem alterar orçamento ou palavras no mesmo momento.","Mensagem mais factual, diversa e pré-qualificadora.","Alta para o problema textual; baixa para impacto de conversão.","CTR pode cair.","Contato válido/clique e CPQL.","CTR -20% ou CPC +25%.","14 dias e ≥50 cliques.","Manter se qualidade não piorar e anúncio permanecer aprovado.","Reverter somente a variante que falhar."
"GAD-07","P1","Corrigir agora","Orçamento total e rede","A conta perde muito mais por ranking do que por orçamento; CERV foi elevada de R$12 para R$23 em 13/08 sem atualização do Norte e contaminou a janela.","30d: perda por ranking 66,5%–74,1% nas principais; orçamento 12,2%–18,6%. 7d: ranking 65,8%–79,2%; orçamento 5,2%–14,8%.","Após autorização, reverter CERV de R$23 para R$12/dia e o total de R$98 para R$87/dia, salvo ratificação explícita do aumento com atualização simultânea do Norte/histórico. Manter somente Pesquisa Google, com parceiros de pesquisa e Display desligados; não ativar PMax, ampla, tCPA nem outro aumento.","Restaurar o limite canônico e isolar o efeito das mudanças recentes.","Alta","Pode reduzir algum volume cervical; alterar orçamento cria nova data de corte.","CPQL e consultas por campanha.","Nenhuma campanha escala sem ≥10 conversões qualificadas aceitas e downstream reconciliado.","Revisar em 7 e 14 dias após a decisão.","Manter R$12 enquanto o sinal qualificado não fechar; se o aumento for ratificado, documentar hipótese e regra no Norte.","Reabrir aumento gradual somente após todos os gates; não combinar com mudança de lance."
"GAD-08","P1","Observar","S_BR_SP_LIFTING_FACIAL / lances","Maximizar conversões opera com sinal qualificado escasso e importação insegura.","30d: 492 cliques, R$681,27, 17 conversões agregadas e 1 Resultado qualificado; 7d: 108 cliques, R$139,57 e 1 agregada.","Manter o teste só após tornar a importação segura; não adicionar tCPA. No checkpoint de 28/08, voltar a Maximizar cliques se houver supressão de tráfego sem ganho de qualidade.","Evitar que o algoritmo aprenda com proxy ou dado inconsistente.","Média","Troca precoce interrompe aprendizado; manutenção longa pode otimizar sinal fraco.","Qualificados aceitos, CPQL e cliques/impressões.","Volume de cliques não cair >25% sem melhora do CPQL.","14 dias completos após correção da importação.","Manter Max conversões se ≥10 aceitas/30d e CPQL melhorar.","Voltar a Max cliques se sinal <10 e tráfego cair sem ganho de qualidade."
"GAD-09","P1","Testar","S_BR_SP_LIFTING_CERVICAL / AG_CERVICOPLASTIA","Único RSA 'Na média'; 0 Resultado qualificado e intenção pode confundir lipo, cirurgia e injetáveis.","177 cliques/R$227,57/4 agregadas em 30d; termo de rejuvenescimento teve 43 cliques/R$52,02/0 agregadas.","Após negativas e tracking, testar títulos 'Lifting Cervical ou Lipo?' e 'Consulta Particular R$ 500' contra controle.","Melhor continuidade e pré-qualificação.","Média","Canibalização com grupo de lipo.","Contato válido, CPQL e termo por grupo.","Termos deslocados para grupo errado +20%; CPC +25%.","14 dias e ≥50 cliques por variante.","Manter se qualidade melhorar.","Reverter se canibalização ou custo piorarem."
"GAD-10","P1","Testar","S_BR_SP_BLEFAROPLASTIA / AG_BLEFAROPLASTIA","A linguagem leiga direta gera muito clique, mas não pode ser julgada pelo proxy atual.","'plástica das pálpebras' frase+exata: 163 cliques/R$235,74; campanha: CTR 7,73% e 1 Resultado qualificado em 30d.","Manter as palavras; testar título 'Plástica das Pálpebras' e preço da consulta em variante isolada.","Aumentar aderência e filtrar expectativa comercial.","Média","Mais pesquisa inicial ou menor CTR com preço.","Contato válido/clique e CPQL do termo.","CTR -20%; CPC +25%; zero qualificado após 50 cliques.","14 dias e ≥50 cliques.","Manter se qualidade melhorar.","Reverter a cópia, nunca negativar automaticamente o termo leigo."
