"id","prioridade","trilha","tipo","fase","pacote","arquivo_funcao_url_aba","problema","evidencia","mudanca_exata","altera_texto_visivel","altera_texto_nao_visivel","altera_schema","altera_atribuicao","altera_planilha","exige_acao_externa","impacto_esperado","confianca","esforco","risco","dependencias","teste","guardrail","rollback","regra_manter","regra_reverter","documentacao"
"SEC-001","P0","T4","corrigir","1 contenção/desenho; 5–6 migração autorizada","A","IMPORT_GOOGLE_ADS; IMPORT_GCLID; _GOOGLE_ADS_EVENTOS; LeadClassification.gs","Transaction IDs legados podem carregar identificador pessoal derivado ou reversível.","3/5 IDs presentes no staging/ledger têm formato potencialmente derivável; valores não foram persistidos.","Fase 1: bloquear novos IDs fora de formato opaco versionado; desenhar HMAC-SHA-256 com segredo; quarentenar legados e auditar recibos sem escrever na planilha. Fases 5–6, somente com autorização posterior específica: migrar as três projeções de forma consistente.","não","não","sim","sim","sim — apenas nas fases 5–6 com autorização posterior específica","sim — leitura do histórico Google na fase 1; escrita/migração somente com autorização posterior específica","Evitar exposição e manter deduplicação segura.","alta","alto","Migração errada pode duplicar conversões ou romper vínculo interno.","baseline; mapa de consumidores; segredo; recibos","preflight de regex; vetores HMAC; replay idempotente; reconciliação 5/5","zero PII; zero reenvio sem estado externo","parar projeção e restaurar snapshot interno seguro; nunca restaurar IDs inseguros","100% novos IDs opacos e eventos reconciliados","qualquer ID derivável, colisão ou duplicidade","Norte; contrato offline; runbook de migração"
"SEC-002","P0","T3","corrigir","1","A","ycloud-webhook.mjs; human-resume.mjs; ycloud-recovery.mjs","Logs externos incluem fragmentos de telefone e podem incluir IDs de provedor reversíveis.","Ocorrências de patientLast4 e IDs de mensagem/evento foram observadas no código.","Substituir por correlation ID HMAC opaco; remover conteúdo e fragmentos pessoais de logs; definir retenção e níveis de acesso.","não","não","não","sim","não","não","Reduzir risco de reidentificação sem perder observabilidade.","alta","médio","Correlação operacional pode ser perdida se o mapa interno não for desenhado.","política de segredo; inventário de logs","snapshot de payload; busca automatizada por PII; correlação de erro sintético","zero PII/PHI em logs externos","feature flag para silenciar logs; manter somente correlation ID","todos os logs úteis reconciliam pelo ID opaco","qualquer PII ou incapacidade de investigar falha crítica","política de logging e retenção"
"SEC-003","P0","T1","corrigir","1","A",".netlifyignore; netlify.toml; pipeline de deploy","A pasta auditorias não está explicitamente excluída do artefato de deploy.",".netlifyignore omite auditorias/ e netlify.toml não declara build.publish; exposição atual é N/D.","Confirmar publish dir/manifest; excluir auditorias/**; adicionar teste de build e smoke 404 para rota sentinela antes de qualquer deploy.","não","não","não","não","não","não — código agora; publicação exige autorização posterior","Evitar publicação acidental de relatórios internos.","alta para lacuna; N/D para exposição","baixo","Regra ampla pode excluir ativo legítimo se mal aplicada.","conhecer método real de deploy","inspecionar artefato; assert de ausência; HTTP 404 pós-publicação autorizada","nenhum relatório interno no artefato","reverter somente a regra se quebrar build, mantendo bloqueio de deploy","build contém apenas arquivos públicos esperados","qualquer arquivo interno acessível ou ativo público ausente","runbook de publicação e lista de exclusões"
"SEC-004","P1","T4","testar","2","A/D","_WHATSAPP_MENSAGENS; _WHATSAPP_EVENTOS; logs e backups","Dados operacionais incluem telefone, texto e IDs de provedor; retenção/acesso não foram comprovados.","Schema live mostra mensagens e identificadores brutos em abas protegidas; política efetiva de retenção é N/D.","Inventariar necessidade, acesso, backups e retenção; minimizar campos e criar política de expurgo sem prejudicar atendimento ou obrigação legal.","não","não","sim","não","sim","sim — decisão operacional/jurídica","Reduzir superfície de dados pessoais.","média","médio-alto","Expurgo excessivo pode afetar continuidade e dever documental.","parecer privacidade; mapa de consumidores","dry-run de retenção; restauração; amostra anonimizável","nenhum dado clínico enviado a terceiros; acesso mínimo","suspender expurgo e restaurar backup protegido","retenção aprovada e auditável","perda de dado necessário ou acesso indevido","política de dados e backup"
"CNS-001","P1","T3","corrigir","2","A/C","campanhas/tracking-config.js; política pública; GUIA-LINGUAGEM-TRAFEGO-PAGO.md; loader/pixels","Documentação e configuração declaram comportamentos incompatíveis de consentimento, click ID e evento Meta.","advancedConsentMode=true, mas tags só carregam após aceite; guia interno diz que click ID só acompanha o WhatsApp após consentimento, enquanto Norte, política, código e testes preservam o ID na sessão atual; política fala em clique WA da Meta, mas o código não envia esse evento.","Obter decisão única de privacidade/LGPD; alinhar flag, loader, guia, política e testes; não ampliar coleta nem burlar consentimento.","possível — só em fase textual autorizada","sim","não","sim","não","sim — revisão de privacidade/jurídica","Consentimento compreensível e medição tecnicamente coerente.","alta","médio","Alterar comportamento pode criar coleta indevida ou quebra de métricas.","decisão de privacidade; baseline de tags","captura de rede com aceitar/recusar/revogar; cookies/storage; conteúdo do link WhatsApp; eventos por destino","nenhuma tag não essencial antes da decisão aprovada; click ID somente conforme contrato formal","retornar ao carregamento bloqueado e última documentação aprovada","código, configuração e documentos descrevem a mesma prática","qualquer tag indevida, ID fora do contrato ou afirmação incorreta","Norte; política; guia de tracking; catálogo de eventos"
"ATR-001","P0","T3","corrigir","4","C/D","Meta M26F02S; site; webhook; LEADS; CRM","Meta Ads → site → WhatsApp → LEADS → CRM não tem prova ponta a ponta.","0 linhas com M26F02S exato no snapshot; isso não equivale a zero contatos Meta Site; testes locais existem, mas nenhuma sonda live reconciliada.","Manter novo gasto em zero; concluir contrato, executar sonda controlada autorizada e exigir origem Meta, caminho site→WhatsApp, campanha, landing, CTA, LEADS=CRM e confiança.","não","não","sim","sim","sim","sim — teste live/Meta somente após autorização","Permitir decidir se a rota Site pode receber teste de mídia.","alta","alto","Lead sintético pode poluir produção ou falsa atribuição pode liberar gasto.","SEC-001/002; ATR-002..008; contrato D","cenários 2 e 3 do plano de testes; conciliação E2E","zero PII; nenhum orçamento antes do gate","desativar feature/sonda e expurgar sintético com trilha","100% da sonda; depois cobertura consentida ≥80%, duplicidade <2% e LEADS=CRM","cobertura <80%, duplicidade ≥2%, fallback silencioso ou divergência","Norte; guia Meta; runbook E2E"
"ATR-002","P0","T3/T4","corrigir","4","C/D","conversion-tracking.js; Code.gs; OpportunityStore.gs; schema CRM","Uma origem única mistura first touch, last touch, conversa atual e caminho.","sessionStorage guarda um snapshot reduzido; aba visível pode ser atualizada por prioridade de plataforma; CRM só congela referência/plataforma inicial.","Criar ledger imutável de touchpoints e projeções separadas para first, last, last non-direct, conversa atual, origem informada e caminho; remover sobrescrita sem evento.","não","não","sim","sim","sim","não","Preservar história e evitar retorno direto apagar mídia paga.","alta","alto","Migração pode reinterpretar histórico ou criar divergência.","contrato de dados; backup; aliases","múltiplas campanhas, paciente antigo e retorno; invariantes de imutabilidade","nunca rebaixar fase nem reescrever first touch","feature flag e projeção anterior sobre ledger preservado","zero sobrescrita e LEADS=CRM por 14 dias","qualquer corrupção, regressão ou origem inventada","contrato de dados; dicionário de métricas"
"ATR-003","P0","T3","corrigir","4","C","conversion-tracking.js; tracking-loader.js; CTA WhatsApp","O subconjunto mínimo de dimensões para provar Meta Site — hierarquia fornecida, landing, CTA e timestamps — não é capturado/materializado.","Código captura cinco parâmetros de marketing e três click IDs; não captura IDs separados de conjunto/anúncio, landing, CTA, timestamps ou referrer; ValueTrack ampliado também é ignorado.","P0: capturar/normalizar o mínimo Meta+landing+CTA do gate; P1 posterior: avaliar ValueTrack adicional por necessidade; separar ausente de inválido e limitar tamanho/risco.","não","não","sim","sim","não","não","Permitir a sonda Meta Site e localizar perdas sem coleta excessiva.","alta","médio-alto","Coleta excessiva ou URL compartilhada pode criar privacidade/falsa confiança.","ATR-002; revisão de privacidade","matriz Meta completa/incompleta e navegação; ValueTrack em teste separado","minimização; valores desconhecidos ficam N/D","desativar novos campos mantendo subset atual","100% da sonda; depois gate do Norte de cobertura ≥80% e duplicidade <2%","PII, cardinalidade descontrolada ou perda de CTA","contrato de parâmetros e privacidade"
"ATR-004","P0","T3","testar","4","C","conversion-tracking.js; storage/token service","Atribuição ativa é por sessão/aba e não cobre retorno posterior ou múltiplas abas.","amanda_marketing_attribution usa sessionStorage; caminho persistente antigo não é aplicado.","Definir TTL e precedência; preferir token opaco/resolução server-side ou armazenamento aprovado; suportar retorno e múltiplas abas sem prolongar indefinidamente.","não","não","sim","sim","não","não","Preservar Meta/Google até o contato posterior.","alta","alto","Persistência excessiva aumenta risco e link encaminhado pode atribuir pessoa errada.","ATR-002/003; base legal; threat model","cenários 4, 9, 18, 19 e 23","TTL mínimo; confiança reduzida para link compartilhado","feature flag e expiração imediata do novo estado","retorno controlado reconcilia sem falsa atribuição","atribuição cruzada ou retenção acima do aprovado","arquitetura de atribuição e retenção"
"ATR-005","P1","T3","testar","4","C","CTA WhatsApp; webhook resolver","A mensagem visível carrega códigos e click IDs; edição/remoção quebra o vínculo e expõe identificadores à plataforma de mensagem.","Código monta referência/click ID no texto; parser depende da mensagem/mapeamento.","Projetar token opaco de uso limitado, resolvido no backend, com fallback explícito; não enviar click ID cru quando o token cumprir a função e a plataforma permitir.","possível — mensagem pode mudar, só com autorização textual","sim","sim","sim","não","sim — WhatsApp/Meta se necessário","Robustez à edição e menor exposição de identificadores.","média-alta","alto","Token pode expirar, ser encaminhado ou tornar o CTA frágil.","ATR-004; serviço seguro; privacidade","edição, remoção, expiração, replay e link encaminhado","nenhuma informação clínica/PII no token; atendimento nunca bloqueia","fallback para código seguro e baixa confiança, sem restaurar click ID cru","≥99% resolução e zero vazamento nos testes","falha de atendimento, replay ou atribuição cruzada","protocolo do token e runbook"
