categoria,campanha,codigo,janela,metrica,valor,unidade,fonte,confianca,observacao
contexto,CONTA,N/D,2026-08-22,customer_id,995-334-4486,id,Google Ads ao vivo,alta,"Conta Dra Amanda Schroeder"
contexto,CONTA,N/D,2026-08-22,fuso,America/Sao_Paulo,texto,Google Ads ao vivo,alta,"UTC-03:00"
orcamento,CONTA,N/D,pos-voo,total_operacional_antes,87.00,BRL/dia,Google Ads ao vivo,alta,"Inclui campanha protegida"
orcamento,CONTA,N/D,pos-voo,total_operacional_depois,87.00,BRL/dia,Google Ads ao vivo,alta,"Sem alteração"
orcamento,S_BR_SP_BLEFAROPLASTIA,G26BLEF,pos-voo,orcamento_antes,23.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24023869904"
orcamento,S_BR_SP_BLEFAROPLASTIA,G26BLEF,pos-voo,orcamento_depois,23.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24023869904"
orcamento,S_BR_SP_LIFTING_CERVICAL,G26CERV,pos-voo,orcamento_antes,12.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24023843174"
orcamento,S_BR_SP_LIFTING_CERVICAL,G26CERV,pos-voo,orcamento_depois,12.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24023843174"
orcamento,S_BR_SP_OTOPLASTIA,G26OTO,pos-voo,orcamento_antes,15.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24029985112"
orcamento,S_BR_SP_OTOPLASTIA,G26OTO,pos-voo,orcamento_depois,15.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24029985112"
orcamento,S_BR_SP_CIRURGIA_FACIAL,G26FACE,pos-voo,orcamento_antes,8.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24028168714"
orcamento,S_BR_SP_CIRURGIA_FACIAL,G26FACE,pos-voo,orcamento_depois,8.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24028168714"
orcamento,S_BR_SP_MARCA,G26MARCA,pos-voo,orcamento_antes,5.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24018638355"
orcamento,S_BR_SP_MARCA,G26MARCA,pos-voo,orcamento_depois,5.00,BRL/dia,Google Ads ao vivo,alta,"Campanha 24018638355"
orcamento,S_BR_SP_LIFTING_FACIAL,G26LIFT,pos-voo,orcamento_antes,24.00,BRL/dia,Google Ads ao vivo,alta,"Protegida; leitura mínima"
orcamento,S_BR_SP_LIFTING_FACIAL,G26LIFT,pos-voo,orcamento_depois,24.00,BRL/dia,Google Ads ao vivo,alta,"Protegida; sem alteração"
midia,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-08/2026-08-14,impressoes,1568,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-08/2026-08-14,cliques,102,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-08/2026-08-14,gasto,152.80,BRL,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-15/2026-08-21,impressoes,1707,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-15/2026-08-21,cliques,116,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_BLEFAROPLASTIA,G26BLEF,2026-08-15/2026-08-21,gasto,169.00,BRL,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-08/2026-08-14,impressoes,1718,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-08/2026-08-14,cliques,98,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-08/2026-08-14,gasto,124.36,BRL,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-15/2026-08-21,impressoes,1616,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-15/2026-08-21,cliques,76,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_LIFTING_CERVICAL,G26CERV,2026-08-15/2026-08-21,gasto,85.05,BRL,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-08/2026-08-14,impressoes,816,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-08/2026-08-14,cliques,50,contagem,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-08/2026-08-14,gasto,108.84,BRL,Google Ads ao vivo,alta,"Janela completa anterior"
midia,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-15/2026-08-21,impressoes,918,contagem,Google Ads ao vivo,alta,"Janela completa atual"
midia,S_BR_SP_OTOPLASTIA,G26OTO,2026-08-15/2026-08-21,cliques,43,contagem,Google Ads ao vivo,alta,"Janela completa atual"
