"prioridade","classificacao","acao","termo_exato","nivel","correspondencia_negativa","campanha","grupo","campanhas_afetadas","evidencia","risco","consulta_legitima_que_pode_bloquear","metrica","regra_manter","regra_reverter"
"P1","Corrigir agora","Adicionar","lifting facial preço","Grupo","Exata negativa","S_BR_SP_LIFTING_FACIAL","AG_LIFTING_FACIAL","Somente AG_LIFTING_FACIAL; o grupo de preço permanece elegível.","13 cliques e R$17,92 no termo em 30d caíram no grupo principal.","Variações próximas ainda podem cair no grupo principal; a exata não bloqueia o grupo de preço.","Pesquisa continua legítima e deve ser atendida por AG_LIFTING_FACIAL_PRECO.","Parcela dos cliques de preço no grupo correto.","Manter se ≥90% do volume exato passar ao grupo de preço.","Remover se o grupo de preço deixar de servir a consulta."
"P1","Corrigir agora","Adicionar","mini lifting facial preço","Grupo","Exata negativa","S_BR_SP_LIFTING_FACIAL","AG_LIFTING_FACIAL","Somente AG_LIFTING_FACIAL; o grupo de preço permanece elegível.","6 cliques e R$10,58 no termo em 30d caíram no grupo principal.","Mesmo risco de roteamento; não negativar em campanha.","Intenção direta preservada no grupo de preço.","Parcela dos cliques de preço no grupo correto.","Manter se o grupo de preço absorver o termo sem perder impressões.","Remover se o grupo de preço não entrar no leilão."
"P1","Não alterar","Manter existente","sus","Campanha","Frase negativa","S_BR_SP_OTOPLASTIA","Todos","Otoplastia.","Termos SUS tiveram 14 impressões, 1 clique e R$2,57 no recorte parcial; a negativa atual foi confirmada ao vivo.","Pode bloquear alguém que compare SUS e particular.","Rever somente se houver contato particular válido perdido.","Gasto em termos SUS.","Manter se não houver falso positivo.","Remover apenas diante de consulta legítima comprovada."
"P2","Observar","Não adicionar agora","projeto orelhinha","Campanha","Frase negativa candidata","S_BR_SP_OTOPLASTIA","Todos","Adulto e infantil.","34 impressões, 2 cliques e R$4,19 no export filtrado; cobertura dos termos é parcial e lista atual tem 221 entradas.","Pode bloquear pessoa que compara o projeto com atendimento particular.","Reextrair janela limpa e verificar se já existe cobertura equivalente.","Gasto e contatos válidos do termo.","Adicionar somente se ausente e 0 contato válido após janela limpa.","Não aplicável antes do teste."
"P2","Observar","Não adicionar agora","gratuito | gratuita | grátis","Lista comercial não-Marca","Frase negativa candidata","BLEF, LIFT, CERV, OTO, FACE","Todos","Cinco campanhas não-Marca.","5 termos/17 impressões/0 cliques no export filtrado; métricas atuais e cobertura da lista são N/D.","Pode bloquear paciente que muda para particular.","Validar contra termos atuais e lista já associada.","Gasto em gratuidade e contatos válidos.","Adicionar variantes individualmente apenas se ausentes e incompatíveis.","Remover a variante com falso positivo."
"P2","Observar","Não adicionar agora","unimed | amil | convênio","Lista comercial não-Marca","Frase negativa candidata","BLEF, LIFT, CERV, OTO, FACE","Todos","Cinco campanhas não-Marca.","3 termos/3 impressões/0 cliques no export filtrado; cobertura parcial.","Pode bloquear pacientes dispostos a pagar particular.","Confirmar política operacional e lista atual antes.","Contato válido e gasto por termo.","Adicionar somente com evidência de incompatibilidade.","Remover diante de falso positivo."
"P2","Observar","Não adicionar agora","nomes de concorrentes observados","Campanha","Exata negativa candidata","S_BR_SP_CIRURGIA_FACIAL","AG_CIRURGIA_FACIAL","Somente consultas exatamente iguais aos nomes.","Ocorrências isoladas; uma teve 1 clique/R$1,69 no top-100.","Comparadores podem ser leads legítimos.","Usar nomes exatos, nunca 'dra', 'dr' ou 'cirurgião' amplos.","Contato válido dos termos concorrentes.","Adicionar caso a caso após 0 contato válido.","Remover se houver lead compatível."
"P2","Observar","Não adicionar agora","hipro full face | endolifting facial","Campanha","Exata negativa candidata","S_BR_SP_LIFTING_FACIAL / S_BR_SP_CIRURGIA_FACIAL","Grupos principais","Somente buscas exatamente iguais.","Apareceram no top-100; custo/conversão por termo N/D.","Podem representar comparação legítima entre técnicas.","Confirmar se são serviços não oferecidos e reconciliar qualidade.","Contato válido por termo.","Adicionar apenas com oferta incompatível confirmada.","Remover se houver intenção cirúrgica válida."
"P2","Observar","Não adicionar agora","otomodelacao de orelha","Campanha","Exata negativa candidata","S_BR_SP_OTOPLASTIA","Todos","Somente termo exato.","Apareceu no top-100; custo/conversão N/D.","Comparação pode evoluir para otoplastia.","Não bloquear antes de amostra limpa.","Contato válido.","Adicionar se procedimento incompatível e 0 contato válido.","Remover diante de comparação qualificada."
"P1","Não alterar","Não adicionar","plástica das pálpebras","Conta/campanha/grupo","Qualquer negativa","S_BR_SP_BLEFAROPLASTIA","AG_BLEFAROPLASTIA","Bloquearia intenção direta leiga.","163 cliques e R$235,74 somando frase+exata; termo semanticamente direto.","Manter pode consumir verba sem qualificado até o tracking fechar.","Preservar e testar copy/qualidade.","Contato válido e CPQL.","Manter positiva.","Pausar positiva só após regra de 50 cliques válidos e 0 qualificados."
"P1","Não alterar","Não adicionar","preço | valor | quanto custa | popular","Conta/campanha","Negativa ampla/frase","Todas","N/D","Bloquearia intenção comercial direta e o grupo de preço.","'blefaroplastia preço popular' somou 16 cliques e R$21,69/0 agregadas; tracking qualificado é incompleto.","Pode continuar atraindo baixa capacidade de pagamento.","Pré-qualificar no anúncio/página antes de excluir.","Contato válido e CPQL de termos de preço.","Preservar até 50 novos cliques atribuídos por tema.","Adicionar negativa específica somente se incompatibilidade for comprovada."
"P2","Observar","Não adicionar agora","fio de sustentação","Campanha","Frase negativa candidata","S_BR_SP_LIFTING_FACIAL / S_BR_SP_LIFTING_CERVICAL","Principais","Comparações cirurgia versus fio.","4 cliques, R$5,48 e 1 conversão agregada no recorte filtrado.","Bloquear comparação que pode gerar consulta válida.","Reconciliar o único evento antes.","Lead qualificado do termo.","Não negativar enquanto a qualidade for N/D.","Adicionar exatas específicas se forem comprovadamente irrelevantes."
"P2","Observar","Não adicionar agora","lobuloplastia","Campanha","Frase/exata candidata","S_BR_SP_OTOPLASTIA","Adulto","Buscas de lóbulo.","Apareceu com convênio/gratuidade; oferta da clínica e qualidade são N/D.","Pode ser procedimento compatível.","Confirmar portfólio antes.","Contato válido.","Preservar até confirmação.","Adicionar negativa somente se fora do portfólio."
